model,parameters,baseline,mismatch,incorrect premise,false suggestion,CT,MRI,CXR,ECG,Pathology,Overall
GPT-4o,,62.31,96.30,73.68,33.33,72.73,72.73,78.79,57.14,75.51,69.28
LLaVA-1.5-7B,7,42.21,27.77,19.29,0.00,29.54,36.36,34.84,33.33,38.77,34.48
LLaVA-1.5-13B,13,43.72,61.11,26.32,0.00,56.82,45.45,33.33,37.14,48.98,42.32
Qwen2-VL-2B,2,50.25,48.15,15.79,0.00,38.64,56.36,30.30,43.81,42.86,42.32
Qwen2-VL-7B,7,52.26,87.04,22.81,0.00,61.36,69.09,42.42,38.10,63.27,51.41
Qwen3-VL-4B,4,61.81,96.30,80.70,22.22,72.73,80.00,77.27,59.05,69.39,69.91
Qwen3-VL-8B,8,59.30,98.15,94.74,44.44,81.82,78.18,81.82,60.95,65.31,71.79
LLaVA-Med-7B,7,31.16,5.56,3.51,22.22,25.00,34.59,9.09,14.29,36.73,21.63
MedGemma-4B,4,49.75,64.81,5.26,0.00,52.27,38.18,54.55,28.57,55.10,42.95
MedGemma-27B,27,53.27,90.74,61.40,11.11,77.27,67.27,71.21,44.76,53.06,59.87
